Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax ((W)),PTC,Notes,"Design Qualification Certification
(Optional Submission) (IEC 61215:2016)",Performance Evaluation (Optional Submission) (IEC 61853-1:2011),Family,Technology,A_c ((m2)),N_s,N_p,BIPV,Nameplate Isc ((A)),Nameplate Voc ((V)),Nameplate Ipmax ((A)),Nameplate Vpmax ((V)),Average NOCT ((°C)),γPmax ((%/°C)),αIsc ((%/°C)),βVoc ((%/°C)),αIpmax ((%/°C)),βVpmax ((%/°C)),"IPmax, low ((A))","VPmax, low ((V))","IPmax, NOCT ((A))","VPmax, NOCT ((V))",Mounting,Type,Short Side ((m)),Long Side ((m)),Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
Ablytek,6MN6A275,275 W Monocrystalline Module,UL 1703,275.0,246.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.6268799999999999,60.0,1.0,N,9.42,38.97,8.88,30.99,47.4,-0.4509,0.0521,-0.3137,0.0113,-0.4632,2.259480164158687,30.102900283107893,8.88,26.57399811261403,Rack,Flat Plate,0.992,1.64,1.0,0.2473342039030153,,
Ablytek,6MN6A280,280 W Monocrystalline Module,UL 1703,280.0,251.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.6268799999999999,60.0,1.0,N,9.51,39.31,8.96,31.26,47.4,-0.4509,0.0521,-0.3137,0.0113,-0.4632,2.27983584131327,30.36517143755898,8.96,26.8055237496068,Rack,Flat Plate,0.992,1.64,1.0,0.2472414506106034,,
Ablytek,6MN6A285,285 W Monocrystalline Module,UL 1703,285.0,256.0,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.6268799999999999,60.0,1.0,N,9.59,39.65,9.04,31.53,47.4,-0.4509,0.0521,-0.3137,0.0113,-0.4632,2.300191518467852,30.627442592010066,9.04,27.037049386599563,Rack,Flat Plate,0.992,1.64,1.0,0.2471894164298337,,
Ablytek,6MN6A290,290 W Monocrystalline Module,UL 1703,290.0,260.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.6268799999999999,60.0,1.0,N,9.67,39.99,9.12,31.8,47.4,-0.4509,0.0521,-0.3137,0.0113,-0.4632,2.320547195622435,30.889713746461155,9.12,27.26857502359233,Rack,Flat Plate,0.992,1.64,1.0,0.24717599519975939,,
Advance Power,API-P210,210 W Polycrystalline Module,UL 1703,210.0,186.8,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,7.6,35.94,7.09,29.64,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.43,29.16,5.71,26.86,Rack,Flat Plate,0.995,1.646,1.0,0.1985657142857143,,
Advance Power,API-P215,215 W Polycrystalline Module,UL 1703,215.0,191.3,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,7.83,36.0,7.18,29.94,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.44,29.46,5.78,27.13,Rack,Flat Plate,0.995,1.646,1.0,0.197313488372093,,
Advance Power,API-P220,220 W Polycrystalline Module,UL 1703,220.0,195.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,7.95,36.06,7.3,30.12,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.47,29.63,5.88,27.29,Rack,Flat Plate,0.995,1.646,1.0,0.19798227272727273,,
Advance Power,API-M225,225 W Monocrystalline Module,UL 1703,225.0,200.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.11,37.02,7.5,30.0,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.56,29.67,5.99,27.45,Rack,Flat Plate,0.995,1.646,1.0,0.205712,,
Advance Power,API-P225,225 W Polycrystalline Module,UL 1703,225.0,200.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,8.1,36.42,7.41,30.36,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.49,29.87,5.96,27.51,Rack,Flat Plate,0.995,1.646,1.0,0.1978057777777778,,
Advance Power,API-M230,230 W Monocrystalline Module,UL 1703,230.0,205.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.18,37.32,7.55,30.48,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.57,30.14,6.03,27.89,Rack,Flat Plate,0.995,1.646,1.0,0.20573826086956523,,
Advance Power,API-P230,230 W Polycrystalline Module,UL 1703,230.0,205.0,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,8.17,36.6,7.55,30.48,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.52,29.99,6.08,27.62,Rack,Flat Plate,0.995,1.646,1.0,0.19819478260869566,,
Advance Power,API-M235,235 W Monocrystalline Module,UL 1703,235.0,209.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.26,37.5,7.59,30.96,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.58,30.61,6.06,28.33,Rack,Flat Plate,0.995,1.646,1.0,0.20580340425531918,,
Advance Power,API-P235,235 W Polycrystalline Module,UL 1703,235.0,209.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,8.23,36.72,7.68,30.6,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.59,29.82,6.18,27.73,Rack,Flat Plate,0.995,1.646,1.0,0.2017608510638298,,
Advance Power,API-M240,240 W Monocrystalline Module,UL 1703,240.0,214.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.29,37.56,7.69,31.2,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.6,30.85,6.14,28.55,Rack,Flat Plate,0.995,1.646,1.0,0.2056666666666667,,
Advance Power,API-P240,240 W Polycrystalline Module,UL 1703,240.0,214.2,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,8.42,36.72,7.9,30.54,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.63,29.76,6.36,27.67,Rack,Flat Plate,0.995,1.646,1.0,0.20212,,
Advance Power,API-M245,245 W Monocrystalline Module,UL 1703,245.0,219.0,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.32,37.62,7.78,31.5,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.63,31.31,6.2,28.85,Rack,Flat Plate,0.995,1.646,1.0,0.20830734693877548,,
Advance Power,API-P245,245 W Polycrystalline Module,UL 1703,245.0,218.8,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,8.46,36.9,8.0,30.84,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.65,30.05,6.44,27.95,Rack,Flat Plate,0.995,1.646,1.0,0.20237755102040814,,
Advance Power,API-M250,250 W Monocrystalline Module,UL 1703,250.0,223.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.59,37.62,8.17,30.6,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.71,30.42,6.51,28.03,Rack,Flat Plate,0.995,1.646,1.0,0.2080728,,
Advance Power,API-P250,250 W Polycrystalline Module,UL 1703,250.0,223.4,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,8.52,37.2,8.03,31.2,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.66,30.4,6.46,28.27,Rack,Flat Plate,0.995,1.646,1.0,0.201856,,
Advance Power,API-M255,255 W Monocrystalline Module,UL 1703,255.0,228.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.67,37.68,8.35,30.6,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.75,30.42,6.66,28.03,Rack,Flat Plate,0.995,1.646,1.0,0.20876470588235294,,
Advance Power,API-P255,255 W Polycrystalline Module,UL 1703,255.0,228.0,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.63777,60.0,1.0,N,8.56,37.5,8.08,31.56,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.67,30.76,6.5,28.6,Rack,Flat Plate,0.995,1.646,1.0,0.2014478431372549,,
Advance Power,API-M260,260 W Monocrystalline Module,UL 1703,260.0,232.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.63777,60.0,1.0,N,8.8,37.8,8.5,30.6,46.0,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.78,30.42,6.78,28.03,Rack,Flat Plate,0.995,1.646,1.0,0.20826000000000003,,
Advance Power,API-P260,260 W Polycrystalline Module,UL 1703,260.0,231.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951195,72.0,1.0,N,7.83,43.2,7.24,35.93,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.46,35.3,5.85,32.39,Rack,Flat Plate,0.995,1.961,1.0,0.19822307692307692,,
Advance Power,API-M265,265 W Monocrystalline Module,UL 1703,265.0,235.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951195,72.0,1.0,N,8.11,44.42,7.36,36.0,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.45,35.49,5.94,32.51,Rack,Flat Plate,0.995,1.961,1.0,0.19419056603773585,,
Advance Power,API-P265,265 W Polycrystalline Module,UL 1703,265.0,236.0,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951195,72.0,1.0,N,7.95,43.27,7.33,36.14,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.48,35.5,5.93,32.58,Rack,Flat Plate,0.995,1.961,1.0,0.19826415094339622,,
Advance Power,API-M270,270 W Monocrystalline Module,UL 1703,270.0,240.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951195,72.0,1.0,N,8.14,44.64,7.44,36.21,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.47,35.7,6.01,32.7,Rack,Flat Plate,0.995,1.961,1.0,0.1943666666666667,,
